"Código","Nome","UF","Latitude","Longitude","Altitude","Fundação","DataFinal"
"A401","SALVADOR","BA",-13.0055,-38.5058,47.56,"2000-05-13","2022-12-31"
"A402","BARREIRAS","BA",-12.1247,-45.0269,474.17,"2001-12-20","2022-12-31"
"A404","LUIZ EDUARDO MAGALHAES","BA",-12.1525,-45.8297,760.68,"2002-04-18","2022-12-31"
"A405","CARAVELAS","BA",-17.7394,-39.2586,6.05,"2002-12-20","2022-12-31"
"A406","CRUZ DAS ALMAS","BA",-12.6756,-39.0894,219.76,"2003-01-19","2022-12-31"
"A407","ITIRUCU","BA",-13.5278,-40.1198,757.42,"2003-02-09","2022-12-31"
"A408","ITABERABA","BA",-12.5242,-40.2997,250.11,"2003-01-29","2022-12-31"
"A410","ILHEUS","BA",-14.6589,-39.1814,80.21,"2003-01-25","2022-12-31"
"A412","MACAJUBA","BA",-12.1317,-40.3542,338.85,"2003-02-03","2022-12-31"
"A413","FEIRA DE SANTANA","BA",-12.1961,-38.9675,229.64,"2007-05-26","2022-12-31"
"A414","VITORIA DA CONQUISTA","BA",-14.8864,-40.8013,879.38,"2007-06-01","2022-12-31"
"A415","SANTA RITA DE CASSIA","BA",-11.0028,-44.525,450.01,"2007-05-28","2022-12-31"
"A416","CORRENTINA","BA",-13.3325,-44.6175,551.71,"2007-11-09","2022-12-31"
"A418","BOM JESUS DA LAPA","BA",-13.2511,-43.4053,447.75,"2007-05-18","2022-12-31"
"A422","ABROLHOS","BA",-17.9631,-38.7033,20.93,"2008-07-21","2022-12-31"
"A423","REMANSO","BA",-9.6256,-42.0772,397.4,"2008-03-26","2022-12-31"
"A424","IRECE","BA",-11.329,-41.8645,768.42,"2008-03-31","2022-12-31"
"A425","LENCOIS","BA",-12.5579,-41.3888,438.09,"2008-04-05","2022-12-31"
"A426","GUANAMBI","BA",-14.2081,-42.7497,552.23,"2008-04-24","2022-12-31"
"A427","PORTO SEGURO","BA",-16.3889,-39.1824,86.36,"2008-07-10","2022-12-31"
"A428","SENHOR DO BONFIM","BA",-10.4431,-40.1482,532.09,"2008-03-27","2022-12-31"
"A429","BARRA","BA",-11.0849,-43.1389,407.5,"2008-05-12","2022-12-31"
"A430","PIATA","BA",-13.1557,-41.7741,1283.95,"2008-05-03","2022-12-31"
"A431","CONDE","BA",-12.0358,-37.6839,31.9,"2008-04-07","2022-12-31"
"A432","BURITIRAMA","BA",-10.7229,-43.6512,506.06,"2008-05-15","2022-12-31"
